station	valid	tmpf	dwpf	relh	drct	sknt	p01i	alti	mslp	vsby	gust	skyc1	skyc2	skyc3	skyc4	skyl1	skyl2	skyl3	skyl4	wxcodes	ice_accretion_1hr	ice_accretion_3hr	ice_accretion_6hr	peak_wind_gust	peak_wind_drct	peak_wind_time	feel	metar	snowdepth
JRB	2019-01-01 00:56	44.10	43.00	95.88	90.00	7.00	0.18	30.08	1018.50	6.00	null	OVC	null	null	null	700.00	null	null	null	-RA BR	null	null	null	null	null	null	39.53	KJRB 010056Z AUTO 09007KT 050V130 6SM -RA BR OVC007 07/06 A3008 RMK AO2 SLP185 P0018 T00670061	null
JRB	2019-01-01 01:56	45.00	44.10	96.63	50.00	8.00	0.15	30.02	1016.70	3.00	null	OVC	null	null	null	700.00	null	null	null	RA BR	null	null	null	null	null	null	40.13	KJRB 010156Z AUTO 05008KT 3SM RA BR OVC007 07/07 A3002 RMK AO2 SLP167 P0015 T00720067	null
JRB	2019-01-01 02:56	45.00	44.10	96.63	40.00	10.00	0.17	29.94	1013.90	8.00	null	OVC	null	null	null	700.00	null	null	null	-RA	null	null	null	null	null	null	39.27	KJRB 010256Z AUTO 04010KT 8SM -RA OVC007 07/07 A2994 RMK AO2 SLP139 P0017 60050 T00720067 58066	null
JRB	2019-01-01 03:56	46.00	45.00	96.28	40.00	7.00	0.11	29.88	1011.90	9.00	15.00	OVC	null	null	null	700.00	null	null	null	-RA	null	null	null	null	null	null	41.84	KJRB 010356Z AUTO 04007G15KT 9SM -RA OVC007 08/07 A2988 RMK AO2 SLP119 P0011 T00780072	null
JRB	2019-01-01 04:56	48.90	48.00	96.69	null	3.00	0.15	29.80	1009.20	7.00	null	OVC	null	null	null	500.00	null	null	null	-RA	null	null	null	null	null	null	48.01	KJRB 010456Z AUTO VRB03KT 7SM -RA OVC005 09/09 A2980 RMK AO2 PRESFR SLP092 P0015 T00940089 400940033	null
JRB	2019-01-01 05:56	50.00	48.90	95.98	270.00	4.00	0.03	29.76	1007.60	10.00	null	OVC	null	null	null	500.00	null	null	null	-RA	null	null	null	null	null	null	48.44	KJRB 010556Z AUTO 27004KT 10SM -RA OVC005 10/09 A2976 RMK AO2 SLP076 P0003 60079 T01000094 10100 20067 56062	null
JRB	2019-01-01 06:56	50.00	48.90	95.98	260.00	5.00	0.03	29.69	1005.40	9.00	null	OVC	null	null	null	500.00	null	null	null	-RA	null	null	null	null	null	null	47.77	KJRB 010656Z AUTO 26005KT 9SM -RA OVC005 10/09 A2969 RMK AO2 PRESFR SLP054 P0003 T01000094	null
JRB	2019-01-01 07:56	51.10	51.10	100.00	280.00	8.00	null	29.65	1004.00	6.00	null	OVC	null	null	null	300.00	null	null	null	BR	null	null	null	null	null	null	51.10	KJRB 010756Z AUTO 28008KT 6SM BR OVC003 11/11 A2965 RMK AO2 RAE07 SLP040 P0000 T01060106	null
JRB	2019-01-01 08:56	50.00	48.90	95.98	270.00	12.00	0.00	29.63	1003.50	3.00	15.00	OVC	null	null	null	300.00	null	null	null	BR	null	null	null	null	null	null	44.91	KJRB 010856Z AUTO 27012G15KT 3SM BR OVC003 10/09 A2963 RMK AO2 SLP035 60003 T01000094 56042	null
JRB	2019-01-01 09:56	53.10	52.00	96.03	270.00	11.00	0.00	29.61	1002.60	10.00	null	OVC	null	null	null	500.00	null	null	null	null	null	null	null	null	null	null	53.10	KJRB 010956Z AUTO 27011KT 10SM OVC005 12/11 A2961 RMK AO2 CIG 004V009 SLP026 T01170111	null
